"gene" "label"
"RP3-340N1.2" "None"
"PLA2G2C" "None"
"UBXN10-AS1" "None"
"UBXN10" "None"
"RP4-745E8.2" "None"
"CAMK2N1" "None"
"MUL1" "None"
"FAM43B" "None"
"CDA" "None"
"PINK1" "None"
"PINK1-AS" "None"
"DDOST" "None"
"KIF17" "None"
"HP1BP3" "gd_T_2"
"EIF4G3" "None"
"ECE1" "None"
"NBPF3" "None"
"ALPL" "None"
"RAP1GAP" "None"
"USP48" "None"
"LDLRAD2" "None"
"HSPG2" "None"
"RP1-224A6.3" "None"
"LINC00339" "None"
"CDC42" "None"
"RP1-224A6.9" "None"
"WNT4" "None"
"ZBTB40" "None"
"C1QA" "NonInfl_Mac"
"C1QC" "NonInfl_Mac"
"C1QB" "NonInfl_Mac"
"EPHB2" "None"
"C1orf234" "None"
"KDM1A" "None"
"LUZP1" "None"
"HTR1D" "None"
"LINC01355" "None"
"HNRNPR" "gd_T_2"
"ZNF436" "None"
"ZNF436-AS1" "None"
"RP5-1057J7.7" "None"
"TCEA3" "None"
"ASAP3" "None"
"E2F2" "gd_T_2"
"ID3" "None"
"MDS2" "None"
"RPL11" "any_B_cell"
"TCEB3" "None"
"TCEB3-AS1" "None"
"PITHD1" "None"
"LYPLA2" "None"
"GALE" "None"
"HMGCL" "None"
"FUCA1" "NonInfl_Mac"
"CNR2" "None"
"PNRC2" "gd_T_2"
"SRSF10" "gd_T_2"
"IL22RA1" "None"
"IFNLR1" "None"
"GRHL3" "None"
"STPG1" "None"
"NIPAL3" "None"
"RCAN3" "None"
"RP4-594I10.3" "None"
"NCMAP" "None"
"SRRM1" "None"
"CLIC4" "None"
"RUNX3" "any_T_cell"
"RP4-799D16.1" "None"
"RP4-706G24.1" "None"
"SYF2" "None"
"RSRP1" "None"
"RP3-465N24.6" "None"
"RHD" "Erythroid"
"TMEM50A" "None"
"RHCE" "Erythroid"
"TMEM57" "None"
"LDLRAP1" "None"
"RP11-70P17.1" "None"
"MAN1C1" "CV_LSECs"
"RP1-187B23.1" "None"
"SEPN1" "None"
"RP1-317E23.3" "None"
"MTFR1L" "PortHep"
"AUNIP" "None"
"RP1-125I3.2" "None"
"PAQR7" "None"
"STMN1" "gd_T_2"
"PAFAH2" "None"
"SLC30A2" "None"
"TRIM63" "None"
"PDIK1L" "None"
"FAM110D" "None"
"RP11-96L14.7" "None"
"ZNF593" "Hep"
"CNKSR1" "None"
"CEP85" "None"
"SH3BGRL3" "Mac"
"UBXN11" "None"
"CD52" "B_cells"
"AIM1L" "None"
"ZNF683" "None"
"DHDDS" "None"
"HMGN2" "gd_T_2"
"RPS6KA1" "any_T_cell"
"RP5-968P14.2" "None"
"ARID1A" "None"
"PIGV" "None"
"ZDHHC18" "None"
"SFN" "None"
"GPN2" "None"
"GPATCH3" "None"
"NUDC" "Hep"
"NR0B2" "None"
"KDF1" "None"
"TRNP1" "Cholan"
"FAM46B" "None"
"SLC9A1" "None"
"WDTC1" "None"
"TMEM222" "None"
"SYTL1" "None"
"MAP3K6" "None"
"FCN3" "CV_LSECs"
"CD164L2" "None"
"WASF2" "None"
"RP1-159A19.4" "None"
"AHDC1" "None"
"FGR" "None"
"RP11-288L9.1" "None"
"IFI6" "None"
"FAM76A" "Stellate"
"STX12" "None"
"PPP1R8" "None"
"THEMIS2" "Mac"
"RPA2" "any_T_cell"
"SMPDL3B" "None"
"XKR8" "None"
"EYA3" "None"
"PTAFR" "Mac"
"DNAJC8" "gd_T_2"
"ATPIF1" "None"
"RP5-1092A3.4" "None"
"RP5-1092A3.5" "None"
"SESN2" "None"
"MED18" "None"
"PHACTR4" "None"
"RCC1" "gd_T_2"
"TRNAU1AP" "gd_T_2"
"SNHG12" "None"
"TAF12" "None"
"RAB42" "None"
"RP11-442N24__B.1" "None"
"RNU11" "None"
"GMEB1" "None"
"YTHDF2" "None"
"EPB41" "Erythroid"
"TMEM200B" "None"
"SRSF4" "None"
"MECR" "None"
"PTPRU" "None"
"MATN1" "None"
"MATN1-AS1" "None"
"LAPTM5" "None"
"RP5-1125N11.2" "None"
"SDC3" "NonInfl_Mac"
"PUM1" "None"
"SNRNP40" "any_T_cell"
"ZCCHC17" "any_T_cell"
"FABP3" "NonInfl_Mac"
"SERINC2" "Cholan"
"TINAGL1" "LSECs"
"PEF1" "None"
"RP11-73M7.6" "None"
"RP11-73M7.9" "None"
"COL16A1" "None"
"ADGRB2" "None"
"SPOCD1" "None"
"RP11-84A19.2" "None"
"RP11-84A19.4" "None"
"PTP4A2" "None"
"KHDRBS1" "gd_T_2"
"RP11-277A4.4" "None"
"TMEM39B" "None"
"KPNA6" "None"
"TXLNA" "None"
"CCDC28B" "any_T_cell"
"RP4-622L5.7" "None"
"IQCC" "None"
"TMEM234" "None"
"EIF3I" "None"
"FAM167B" "None"
"LCK" "None"
"HDAC1" "None"
"MARCKSL1" "CV_LSECs"
"TSSK3" "None"
"FAM229A" "None"
"BSDC1" "None"
"ZBTB8B" "None"
"ZBTB8A" "Portal_Endo"
"ZBTB8OS" "None"
"RBBP4" "gd_T_2"
"SYNC" "None"
"KIAA1522" "Cholan"
"YARS" "None"
"S100PBP" "None"
"FNDC5" "None"
"TMEM54" "Cholan"
"RNF19B" "None"
"AK2" "Hep"
"AZIN2" "None"
"TRIM62" "None"
"ZNF362" "None"
"RP11-415J8.3" "None"
"PHC2" "None"
"ZSCAN20" "None"
"SMIM12" "None"
"GJB3" "None"
"GJA4" "LSECs"
"DLGAP3" "None"
"RP11-244H3.4" "None"
"ZMYM6NB" "None"
"ZMYM6" "None"
"ZMYM1" "None"
"SFPQ" "any_T_cell"
"ZMYM4" "None"
"KIAA0319L" "None"
"NCDN" "None"
"RP4-728D4.2" "None"
"TFAP2E" "None"
"PSMB2" "None"
"C1orf216" "None"
"CLSPN" "gd_T_2"
"AGO4" "None"
"AGO1" "None"
"RP4-789D17.5" "None"
"AGO3" "None"
"ADPRHL2" "None"
"COL8A2" "None"
"TRAPPC3" "None"
"MAP7D1" "any_T_cell"
"THRAP3" "any_T_cell"
"SH3D21" "None"
"EVA1B" "LSECs"
"RP11-268J15.5" "None"
"STK40" "None"
"LSM10" "None"
"OSCP1" "None"
"MRPS15" "None"
"CSF3R" "Mac"
"LINC01137" "None"
"ZC3H12A" "Cholan"
"MEAF6" "None"
"SNIP1" "None"
"DNALI1" "None"
"GNL2" "None"
"C1orf109" "None"
"CDCA8" "gd_T_2"
"MANEAL" "None"
"YRDC" "None"
"C1orf122" "None"
"MTF1" "None"
"INPP5B" "None"
"RP11-109P14.10" "None"
"SF3A3" "None"
"FHL3" "None"
"UTP11L" "None"
"POU3F1" "None"
"RRAGC" "None"
