"gene" "label"
"SHISA5" "None"
"PFKFB4" "None"
"COL7A1" "None"
"UQCRC1" "None"
"SLC26A6" "None"
"CELSR3" "None"
"NCKIPSD" "None"
"IP6K2" "None"
"PRKAR2A" "None"
"PRKAR2A-AS1" "None"
"SLC25A20" "None"
"ARIH2OS" "None"
"ARIH2" "None"
"RP13-131K19.1" "None"
"RP13-131K19.2" "None"
"RP13-131K19.7" "None"
"P4HTM" "None"
"WDR6" "None"
"DALRD3" "None"
"NDUFAF3" "None"
"IMPDH2" "any_T_cell"
"RP13-131K19.6" "None"
"QRICH1" "None"
"QARS" "gd_T_2"
"USP19" "None"
"LAMB2" "LSECs"
"CCDC71" "None"
"KLHDC8B" "None"
"CCDC36" "None"
"RP11-3B7.1" "None"
"C3orf62" "None"
"USP4" "None"
"GPX1" "Mac"
"RHOA" "None"
"TCTA" "None"
"AMT" "None"
"NICN1" "None"
"DAG1" "None"
"BSN-AS2" "None"
"BSN" "None"
"APEH" "PortHep"
"MST1" "Hep"
"RNF123" "None"
"GMPPB" "Anti_B"
"IP6K1" "None"
"FAM212A" "None"
"UBA7" "None"
"TRAIP" "gd_T_2"
"MON1A" "None"
"RBM6" "None"
"RBM5" "None"
"RBM5-AS1" "None"
"SEMA3F-AS1" "None"
"SEMA3F" "None"
"SLC38A3" "PortHep"
"GNAI2" "None"
"U73166.2" "None"
"SEMA3B-AS1" "None"
"SEMA3B" "Cholan"
"LSMEM2" "None"
"IFRD2" "None"
"HYAL3" "None"
"NAT6" "None"
"HYAL1" "PortHep"
"HYAL2" "None"
"TUSC2" "None"
"RASSF1" "any_T_cell"
"RASSF1-AS1" "None"
"ZMYND10" "None"
"NPRL2" "None"
"TMEM115" "None"
"CACNA2D2" "None"
"C3orf18" "None"
"HEMK1" "None"
"CISH" "None"
"MAPKAPK3" "None"
"RP11-804H8.6" "None"
"DOCK3" "None"
"MANF" "Anti_B"
"RBM15B" "None"
"VPRBP" "None"
"RAD54L2" "None"
"TEX264" "None"
"RRP9" "None"
"PARP3" "None"
"PCBP4" "None"
"ABHD14B" "None"
"ABHD14A" "None"
"ACY1" "None"
"RPL29" "any_B_cell"
"DUSP7" "None"
"POC1A" "gd_T_2"
"ALAS1" "Hep"
"TWF2" "any_T_cell"
"RP5-1157M23.2" "None"
"PPM1M" "None"
"WDR82" "None"
"GLYCTK" "PortHep"
"DNAH1" "None"
"BAP1" "None"
"PHF7" "gd_T_2"
"SEMA3G" "None"
"TNNC1" "None"
"NISCH" "None"
"STAB1" "CV_LSECs"
"NT5DC2" "None"
"SMIM4" "Hep"
"PBRM1" "None"
"GNL3" "Anti_B"
"GLT8D1" "None"
"SPCS1" "any_B_cell"
"NEK4" "None"
"ITIH1" "Hep"
"ITIH3" "Hep"
"ITIH4" "PortHep"
"RP5-966M1.6" "None"
"MUSTN1" "None"
"TMEM110-MUSTN1" "None"
"TMEM110" "None"
"SFMBT1" "None"
"RP11-894J14.5" "None"
"RFT1" "None"
"PRKCD" "None"
"TKT" "Infl_Mac"
"DCP1A" "None"
"CACNA1D" "None"
"RP11-884K10.6" "None"
"CHDH" "None"
"IL17RB" "None"
"RP11-884K10.7" "None"
"ACTR8" "None"
"SELK" "Anti_B"
"CACNA2D3" "None"
"WNT5A" "None"
"WNT5A-AS1" "None"
"CCDC66" "None"
"FAM208A" "None"
"ARHGEF3" "None"
"SPATA12" "None"
"IL17RD" "None"
"HESX1" "None"
"APPL1" "None"
"PDE12" "None"
"ARF4" "None"
"ARF4-AS1" "None"
"DENND6A" "None"
"DENND6A-AS1" "None"
"RP11-755B10.3" "None"
"SLMAP" "None"
"FLNB" "Portal_Endo"
"FLNB-AS1" "None"
"DNASE1L3" "None"
"ABHD6" "None"
"RPP14" "None"
"RP11-80H18.3" "None"
"PXK" "Stellate"
"PDHB" "None"
"RP11-802O23.3" "None"
"RP11-359I18.5" "None"
"KCTD6" "None"
"ACOX2" "None"
"FAM107A" "LSECs"
"FAM3D" "Cholan"
"C3orf67" "None"
"FHIT" "None"
"PTPRG" "None"
"C3orf14" "None"
"CADPS" "None"
"THOC7" "None"
"ATXN7" "None"
"SCAANT1" "None"
"PSMD6-AS2" "None"
"RP11-245J9.5" "None"
"PSMD6" "None"
"RP11-245J9.4" "None"
"RP11-245J9.6" "None"
"PRICKLE2" "None"
"ADAMTS9" "None"
"ADAMTS9-AS1" "Stellate"
"ADAMTS9-AS2" "None"
"MAGI1" "None"
"SLC25A26" "None"
"LRIG1" "None"
"KBTBD8" "None"
"SUCLG2" "Hep"
"SUCLG2-AS1" "None"
"FAM19A1" "None"
"EOGT" "None"
"CTD-2013N24.2" "None"
"TMF1" "None"
"UBA3" "None"
"ARL6IP5" "None"
"LMOD3" "None"
"FRMD4B" "NonInfl_Mac"
"MITF" "None"
"LINC01212" "None"
"FOXP1" "None"
"RP11-154H23.4" "None"
"RP11-154H23.3" "None"
"EIF4E3" "None"
"GPR27" "None"
"PROK2" "None"
"LINC00877" "None"
"LINC00870" "None"
"RP11-433A10.3" "None"
"RYBP" "None"
"SHQ1" "None"
"GXYLT2" "None"
"PPP4R2" "None"
"EBLN2" "None"
"RP11-20B7.1" "None"
"CNTN3" "None"
"RP11-803B1.8" "None"
"LINC00960" "None"
"ZNF717" "None"
"ROBO2" "None"
"ROBO1" "None"
"RP11-6B4.1" "Hep"
"GBE1" "None"
"LINC00971" "None"
"CADM2" "None"
"VGLL3" "Stellate"
"CHMP2B" "None"
"HTR1F" "None"
"CGGBP1" "None"
"RP11-159G9.5" "None"
"ZNF654" "None"
"C3orf38" "None"
"EPHA3" "None"
"PROS1" "Hep"
"ARL13B" "None"
"DHFRL1" "None"
"NSUN3" "None"
"MTRNR2L12" "PortalHep2"
"ARL6" "None"
"CRYBG3" "None"
"MINA" "None"
"CLDND1" "any_T_cell"
"CPOX" "Erythroid"
"GPR15" "None"
"ST3GAL6-AS1" "None"
"ST3GAL6" "PortHep"
"DCBLD2" "None"
"COL8A1" "None"
"CMSS1" "None"
"FILIP1L" "Stellate"
"TBC1D23" "None"
"NIT2" "Hep"
"TOMM70A" "None"
"LNP1" "None"
"TMEM45A" "PortHep"
"ADGRG7" "None"
"TFG" "None"
"ABI3BP" "None"
"IMPG2" "None"
"SENP7" "None"
"TRMT10C" "None"
"PCNP" "any_T_cell"
"ZBTB11" "None"
"ZBTB11-AS1" "None"
"RPL24" "None"
"CEP97" "None"
"NXPE3" "None"
"NFKBIZ" "Mac"
"RP11-221J22.2" "None"
"ZPLD1" "None"
"RP11-280H21.1" "None"
"ALCAM" "None"
"CBLB" "None"
"LINC00882" "None"
"DUBR" "None"
"BBX" "None"
"CD47" "any_T_cell"
"LINC01215" "None"
"IFT57" "None"
"HHLA2" "None"
"MYH15" "None"
"KIAA1524" "gd_T_2"
"DZIP3" "None"
"TRAT1" "any_T_cell"
"MORC1" "None"
"FLJ22763" "None"
"DPPA4" "None"
"PVRL3-AS1" "None"
"PVRL3" "None"
"CD96" "None"
"PLCXD2" "CentralHep"
"PHLDB2" "None"
"ABHD10" "None"
"C3orf52" "None"
"GCSAM" "None"
"CD200" "None"
"BTLA" "None"
"ATG3" "None"
"SLC35A5" "None"
"CCDC80" "None"
"RP11-572C15.5" "None"
"CD200R1" "None"
"RP11-484K9.4" "None"
"GTPBP8" "None"
"C3orf17" "None"
"RP11-572M11.4" "None"
"BOC" "None"
"CFAP44" "None"
"SPICE1" "None"
"SIDT1" "None"
"SIDT1-AS1" "None"
"USF3" "None"
"NAA50" "None"
"RP11-271C24.2" "None"
"ATP6V1A" "None"
"GRAMD1C" "None"
"ZDHHC23" "None"
"CCDC191" "None"
"QTRTD1" "None"
"RP11-553L6.2" "None"
"ZNF80" "None"
"TIGIT" "None"
"RP11-553L6.5" "None"
"ZBTB20" "None"
"ZBTB20-AS1" "None"
"RP11-197K3.1" "None"
"ZBTB20-AS2" "None"
"ZBTB20-AS4" "None"
"LSAMP" "None"
"UPK1B" "None"
"B4GALT4" "Cholan"
"ARHGAP31" "None"
"ARHGAP31-AS1" "None"
"TMEM39A" "None"
"POGLUT1" "None"
"RP11-190C22.8" "None"
"TIMMDC1" "None"
"CD80" "None"
"RP11-190C22.9" "None"
"ADPRH" "None"
"PLA1A" "None"
"POPDC2" "None"
"COX17" "CentralHep"
"MAATS1" "None"
"NR1I2" "PortalHep2"
"GSK3B" "None"
"RP11-18H7.1" "None"
"LRRC58" "None"
"FSTL1" "Stellate"
"NDUFB4" "CentralHep"
"HGD" "Hep"
"RABL3" "None"
"GTF2E1" "None"
"POLQ" "gd_T_2"
"HCLS1" "Mac"
"GOLGB1" "None"
"IQCB1" "None"
"EAF2" "Anti_B"
"SLC15A2" "None"
"ILDR1" "None"
"CD86" "Mac"
"CASR" "Cholan"
"CSTA" "Infl_Mac"
"CCDC58" "None"
"FAM162A" "CentralHep"
"WDR5B" "None"
"RP11-299J3.8" "None"
"KPNA1" "None"
"PARP9" "PortHep"
"DTX3L" "PortHep"
"PARP15" "None"
"PARP14" "None"
"HSPBAP1" "None"
"DIRC2" "None"
"RP11-67L2.2" "None"
"SEMA5B" "None"
"PDIA5" "LSECs"
"SEC22A" "None"
"ADCY5" "None"
"HACD2" "PortHep"
"MYLK-AS1" "None"
"MYLK" "None"
"CCDC14" "gd_T_2"
"KALRN" "None"
"UMPS" "None"
"ITGB5" "None"
"MUC13" "None"
"HEG1" "None"
"SLC12A8" "None"
"ZNF148" "None"
"SNX4" "None"
"OSBPL11" "None"
"RP11-666A20.4" "None"
"ALG1L" "None"
"ROPN1B" "None"
"SLC41A3" "None"
"ALDH1L1" "Hep"
"ALDH1L1-AS1" "None"
"ALDH1L1-AS2" "None"
"KLF15" "None"
"ZXDC" "None"
"UROC1" "PortHep"
"CHST13" "None"
"TXNRD3" "None"
"CHCHD6" "None"
"PLXNA1" "None"
"TPRA1" "None"
"MCM2" "gd_T_2"
"PODXL2" "None"
"ABTB1" "None"
"MGLL" "None"
"SEC61A1" "None"
"RUVBL1" "None"
"EEFSEC" "None"
"GATA2" "None"
"GATA2-AS1" "None"
"RPN1" "LSECs"
"RAB7A" "None"
"RP11-723O4.9" "None"
"ACAD9" "None"
"KIAA1257" "None"
"EFCC1" "None"
"GP9" "None"
"RAB43" "None"
"RP11-434H6.6" "None"
"ISY1" "any_T_cell"
"RP11-434H6.7" "None"
"CNBP" "None"
"COPG1" "PortHep"
"HMCES" "None"
"H1FX" "any_T_cell"
"H1FX-AS1" "None"
"EFCAB12" "None"
"MBD4" "any_B_cell"
"IFT122" "None"
"PLXND1" "CV_LSECs"
"TMCC1" "None"
"TMCC1-AS1" "None"
"ALG1L2" "None"
"RP11-93K22.13" "None"
"RP11-77P16.4" "None"
"PIK3R4" "None"
"ATP2C1" "None"
"ASTE1" "None"
"NEK11" "None"
"NUDT16" "None"
"MRPL3" "None"
"RP11-517B11.4" "None"
"ACPP" "None"
"DNAJC13" "None"
"ACAD11" "None"
"NPHP3-ACAD11" "None"
"ACKR4" "None"
"UBA5" "None"
"NPHP3" "None"
"TMEM108" "None"
"BFSP2" "None"
"BFSP2-AS1" "None"
"CDV3" "None"
"TOPBP1" "gd_T_2"
"TF" "Hep"
"SRPRB" "None"
"RAB6B" "Erythroid"
"C3orf36" "None"
"SLCO2A1" "PeriLSECs"
"RYK" "None"
"RP11-200A1.1" "None"
"RP11-375I20.6" "None"
"AMOTL2" "Stellate"
"ANAPC13" "None"
"CEP63" "None"
"EPHB1" "None"
"PPP2R3A" "None"
"RP11-305O4.3" "None"
"MSL2" "None"
"PCCB" "Hep"
"STAG1" "None"
"RP11-102M11.2" "None"
"SLC35G2" "None"
"RP11-731C17.2" "None"
"NCK1-AS1" "None"
"NCK1" "None"
"IL20RB" "None"
"DZIP1L" "None"
"A4GNT" "None"
"DBR1" "None"
"ARMC8" "Stellate"
"NME9" "None"
"MRAS" "None"
"ESYT3" "None"
"CEP70" "None"
"FAIM" "Cholan"
"PIK3CB" "None"
"MRPS22" "None"
"RP11-219D15.3" "None"
"COPB2" "None"
"RP11-319G6.1" "None"
"RBP1" "None"
"NMNAT3" "None"
"CLSTN2" "Stellate"
"SLC25A36" "None"
"SPSB4" "None"
"PXYLP1" "None"
"ZBTB38" "None"
"RASA2" "None"
"RNF7" "None"
"ATP1B3" "None"
"TFDP2" "None"
"GK5" "None"
"XRN1" "None"
"ATR" "None"
"PLS1" "None"
"TRPC1" "None"
"PCOLCE2" "None"
"RP11-372E1.4" "PortHep"
"PAQR9" "None"
"PAQR9-AS1" "None"
"U2SURP" "None"
"RP11-91G21.1" "None"
"CHST2" "None"
"SLC9A9" "None"
"C3orf58" "None"
"PLOD2" "None"
"PLSCR4" "None"
"PLSCR2" "None"
"PLSCR1" "None"
"ZIC1" "None"
"AGTR1" "Stellate"
"CPA3" "None"
"GYG1" "None"
"HLTF" "None"
"HPS3" "None"
"CP" "PortHep"
"TM4SF18" "CV_LSECs"
"TM4SF1" "LSECs"
"TM4SF1-AS1" "None"
"TM4SF4" "None"
"WWTR1" "Portal_Endo"
"COMMD2" "None"
"ANKUB1" "None"
"RNF13" "None"
"PFN2" "Stellate"
"RP11-651P23.5" "None"
"LINC01214" "None"
"TSC22D2" "None"
"SERP1" "None"
"EIF2A" "None"
"SELT" "any_T_cell"
"ERICH6-AS1" "None"
"SIAH2" "None"
"SIAH2-AS1" "None"
"MED12L" "None"
"GPR171" "any_T_cell"
"P2RY14" "None"
"P2RY13" "NonInfl_Mac"
"P2RY12" "None"
"IGSF10" "None"
"AADAC" "Hep"
"SUCNR1" "NonInfl_Mac"
"RP11-246A10.1" "None"
"MBNL1" "any_T_cell"
"MBNL1-AS1" "None"
"P2RY1" "None"
"RAP2B" "NonInfl_Mac"
"RP11-292E2.1" "None"
"ARHGEF26" "PortHep"
"DHX36" "None"
"MME" "PortHep"
"RP11-451G4.2" "None"
"PLCH1" "None"
"C3orf33" "None"
"SLC33A1" "None"
"GMPS" "gd_T_2"
"KCNAB1" "None"
"RP11-305K5.1" "None"
"SSR3" "Anti_B"
"TIPARP-AS1" "None"
"TIPARP" "None"
"LINC00886" "None"
"LEKR1" "None"
"LINC00880" "None"
"RP11-6F2.5" "None"
"LINC00881" "None"
"CCNL1" "None"
"VEPH1" "Cholan"
"PTX3" "None"
"PQLC2L" "None"
"SHOX2" "None"
"RSRC1" "None"
"RP11-538P18.2" "None"
"MLF1" "None"
"GFM1" "PortHep"
"LXN" "Portal_Endo"
"RP11-379F4.6" "None"
"RARRES1" "Portal_Endo"
"MFSD1" "NonInfl_Mac"
"RP11-379F4.4" "None"
"RP11-379F4.9" "None"
"IQCJ-SCHIP1" "None"
"SCHIP1" "None"
"IL12A" "None"
"C3orf80" "None"
"IFT80" "None"
"SMC4" "gd_T_2"
"TRIM59" "gd_T_2"
"KPNA4" "None"
"ARL14" "None"
"RP11-16N11.2" "None"
"PPM1L" "None"
"B3GALNT1" "None"
"NMD3" "None"
"SPTSSB" "None"
"RP11-3P17.4" "None"
"RP11-3P17.5" "None"
"SLITRK3" "None"
"BCHE" "CentralHep"
"WDR49" "None"
"PDCD10" "None"
"SERPINI1" "None"
"GOLIM4" "Hep"
"MECOM" "PeriLSECs"
"TERC" "None"
"ACTRT3" "None"
"RP11-816J6.3" "None"
"MYNN" "None"
"RP11-362K14.5" "None"
"LRRC34" "None"
"RP11-362K14.7" "None"
"RP11-362K14.6" "None"
"LRRC31" "None"
"SAMD7" "None"
"RP11-379K17.4" "None"
"SEC62" "None"
"GPR160" "None"
"PHC3" "None"
"RP11-379K17.12" "None"
"PRKCI" "None"
"SKIL" "Portal_Endo"
"CLDN11" "None"
"SLC7A14" "None"
"RPL22L1" "Anti_B"
"EIF5A2" "None"
"SLC2A2" "Hep"
"TNIK" "None"
"RP11-185E8.1" "None"
"PLD1" "Cholan"
"FNDC3B" "LSECs"
"TNFSF10" "LSECs"
"RP11-408H1.3" "None"
"NCEH1" "None"
"ECT2" "gd_T_2"
"NAALADL2" "None"
"LINC01209" "None"
"TBL1XR1" "None"
"LINC00578" "None"
"KCCAT211" "None"
"KCNMB2" "None"
"ZMAT3" "None"
"PIK3CA" "None"
"KCNMB3" "None"
"ZNF639" "None"
"MFN1" "None"
"GNB4" "NonInfl_Mac"
"AC007620.3" "None"
"RP11-145M9.5" "None"
"ACTL6A" "None"
"RP11-15L13.4" "None"
"MRPL47" "None"
"NDUFB5" "None"
"USP13" "None"
"RP11-494H4.3" "None"
"TTC14" "None"
"CCDC39" "None"
"FXR1" "None"
"DNAJC19" "None"
"SOX2" "None"
"RP11-225N10.1" "None"
"ATP11B" "None"
"RP11-531F16.4" "None"
"DCUN1D1" "None"
"MCCC1" "None"
"LAMP3" "None"
"MCF2L2" "None"
"B3GNT5" "None"
"KLHL6" "None"
"KLHL6-AS1" "None"
"KLHL24" "None"
"YEATS2" "None"
"MAP6D1" "None"
"PARL" "None"
"ABCC5" "None"
"RP11-778D9.13" "None"
"RP11-778D9.12" "None"
"EIF2B5" "None"
"DVL3" "None"
"AP2M1" "None"
"ABCF3" "None"
"VWA5B2" "None"
"ALG3" "None"
"ECE2" "None"
"CAMK2N2" "None"
"PSMD2" "None"
"EIF4G1" "None"
"FAM131A" "None"
"CLCN2" "None"
"POLR2H" "None"
"THPO" "None"
"CHRD" "PortHep"
"EIF2B5-AS1" "None"
"EPHB3" "None"
"MAGEF1" "None"
"VPS8" "None"
"C3orf70" "None"
"EHHADH" "Hep"
"MAP3K13" "None"
"TMEM41A" "None"
"LIPH" "Cholan"
"SENP2" "None"
"IGF2BP2" "None"
"TRA2B" "any_T_cell"
"ETV5" "NonInfl_Mac"
"DGKG" "None"
"CRYGS" "None"
"TBCCD1" "None"
"DNAJB11" "any_B_cell"
"RP11-573D15.8" "None"
"AHSG" "Hep"
"FETUB" "PortalHep2"
"HRG" "Hep"
"KNG1" "Hep"
"RP11-573D15.9" "None"
"EIF4A2" "None"
"RFC4" "gd_T_2"
"RP11-573D15.2" "None"
"ST6GAL1" "LSECs"
"RPL39L" "None"
"MASP1" "None"
"RTP4" "None"
"BCL6" "None"
"LPP-AS2" "None"
"LPP" "Stellate"
"TPRG1-AS1" "None"
"TPRG1" "None"
"TP63" "None"
"P3H2" "None"
"P3H2-AS1" "None"
"CLDN1" "None"
"CLDN16" "None"
"IL1RAP" "Hep"
"GMNC" "None"
"OSTN-AS1" "None"
"UTS2B" "None"
"CCDC50" "None"
"FGF12" "None"
"MB21D2" "None"
"HRASLS" "None"
"ATP13A4" "None"
"OPA1" "None"
"RP11-135A1.2" "None"
"HES1" "None"
"RP11-513G11.3" "None"
"RP11-513G11.2" "None"
"LINC00887" "None"
"CPN2" "Hep"
"LRRC15" "None"
"ATP13A3" "None"
"LINC00884" "None"
"TMEM44-AS1" "None"
"TMEM44" "None"
"AC046143.3" "None"
"LSG1" "None"
"FAM43A" "None"
"AC090505.4" "None"
"XXYLT1" "None"
"XXYLT1-AS2" "None"
"ACAP2" "None"
"PPP1R2" "any_T_cell"
"AC091633.3" "None"
"APOD" "Stellate"
"AC069513.4" "None"
"LINC00969" "None"
"MUC20" "None"
"TNK2" "None"
"TNK2-AS1" "None"
"AC124944.3" "None"
"RP11-480A16.1" "None"
"TFRC" "Erythroid"
"LINC00885" "None"
"ZDHHC19" "None"
"SLC51A" "None"
"PCYT1A" "None"
"TCTEX1D2" "None"
"TM4SF19-AS1" "None"
"UBXN7" "None"
"RNF168" "None"
"WDR53" "None"
"FBXO45" "None"
"LINC01063" "None"
"NRROS" "None"
"PIGX" "None"
"CEP19" "None"
"PAK2" "None"
"SENP5" "None"
"NCBP2" "None"
"NCBP2-AS2" "None"
"PIGZ" "None"
"MFI2" "None"
"MFI2-AS1" "None"
"DLG1" "None"
"DLG1-AS1" "None"
"RP13-616I3.1" "None"
"BDH1" "PortHep"
"AC024560.2" "None"
"RUBCN" "None"
"FYTTD1" "None"
"RP11-803P9.1" "None"
"LRCH3" "None"
"IQCG" "None"
"RPL35A" "None"
"LMLN" "None"
"ZNF595" "None"
"ZNF718" "None"
"ZNF141" "None"
"ZNF721" "None"
"PIGG" "None"
"PDE6B" "None"
"RP11-1191J2.5" "None"
"ATP5I" "CentralHep"
"MYL5" "None"
"MFSD7" "None"
"PCGF3" "None"
"RP11-440L14.4" "None"
"RP11-440L14.1" "None"
"CPLX1" "None"
"GAK" "None"
"TMEM175" "None"
"DGKQ" "None"
"SLC26A1" "None"
"IDUA" "None"
"FGFRL1" "PortHep"
"RNF212" "None"
"SPON2" "any_T_cell"
"RP11-20I20.4" "None"
"CTBP1-AS" "None"
"CTBP1" "gd_T_2"
"CTBP1-AS2" "None"
"MAEA" "any_T_cell"
"UVSSA" "None"
"CRIPAK" "None"
"RP13-1016M1.2" "None"
"RP11-1398P2.1" "None"
"FAM53A" "None"
"SLBP" "gd_T_2"
"RP11-572O17.1" "None"
"TMEM129" "None"
"TACC3" "gd_T_2"
"FGFR3" "None"
"LETM1" "None"
"WHSC1" "gd_T_2"
"NELFA" "None"
"C4orf48" "Mac"
"POLN" "None"
"HAUS3" "None"
"MXD4" "None"
"ZFYVE28" "None"
"RNF4" "gd_T_2"
"FAM193A" "None"
"TNIP2" "None"
"SH3BP2" "None"
"ADD1" "None"
"MFSD10" "None"
"NOP14-AS1" "None"
"NOP14" "None"
"GRK4" "None"
"HTT" "None"
"MSANTD1" "None"
"RGS12" "None"
"HGFAC" "PortHep"
"DOK7" "None"
"LRPAP1" "None"
"ADRA2C" "None"
"TMEM128" "None"
"LYAR" "any_T_cell"
"ZBTB49" "None"
"NSG1" "None"
"STX18" "None"
"STX18-AS1" "None"
"MSX1" "None"
"CYTL1" "None"
"EVC2" "None"
"EVC" "None"
"JAKMIP1" "None"
"RP11-586D19.1" "None"
"WFS1" "None"
"MAN2B2" "None"
"MRFAP1" "None"
"RP11-539L10.3" "None"
"AC093323.3" "None"
"RP11-539L10.2" "None"
"S100P" "None"
"MRFAP1L1" "None"
"BLOC1S4" "None"
"KIAA0232" "None"
"TBC1D14" "None"
"CCDC96" "None"
"TADA2B" "None"
"GRPEL1" "Hep"
"RP11-367J11.3" "None"
"SORCS2" "None"
"AFAP1" "None"
"ABLIM2" "None"
"SH3TC1" "None"
"HTRA3" "None"
"RP11-774O3.3" "None"
"ACOX3" "None"
"TRMT44" "None"
"RP11-689P11.2" "None"
"SLC2A9" "None"
"WDR1" "any_T_cell"
"ZNF518B" "None"
"CLNK" "None"
"HS3ST1" "Portal_Endo"
"RP11-22A3.2" "None"
"RP11-22A3.1" "None"
"RAB28" "None"
"BOD1L1" "None"
"LINC00504" "None"
"CPEB2-AS1" "None"
"CPEB2" "None"
"RP11-665G4.1" "None"
"CC2D2A" "None"
"RP11-799M12.2" "None"
"FBXL5" "None"
"FAM200B" "None"
"BST1" "None"
"CD38" "Anti_B"
"FGFBP2" "gd_T_1"
"PROM1" "Cholan"
"TAPT1" "None"
"TAPT1-AS1" "None"
"LDB2" "LSECs"
"QDPR" "Hep"
"LAP3" "PortHep"
"AC006160.5" "None"
"MED28" "None"
"FAM184B" "None"
"DCAF16" "None"
"NCAPG" "gd_T_2"
"LCORL" "None"
"SLIT2" "None"
"PACRGL" "None"
"KCNIP4" "None"
"ADGRA3" "PortHep"
"PPARGC1A" "None"
"DHX15" "None"
"SOD3" "None"
"CCDC149" "None"
"LGI2" "None"
"SEPSECS" "None"
"SEPSECS-AS1" "None"
"RP11-660M5.1" "None"
"PI4K2B" "PortHep"
"ZCCHC4" "None"
"ANAPC4" "None"
"SLC34A2" "Cholan"
"SEL1L3" "None"
"RP11-302F12.10" "None"
"SMIM20" "None"
"RBPJ" "Mac"
"TBC1D19" "None"
"STIM2" "None"
"RP11-293A21.1" "None"
"RP11-769N22.1" "None"
"PCDH7" "None"
"RP11-548L20.1" "None"
"ARAP2" "None"
"RP11-431M7.3" "None"
"DTHD1" "None"
"C4orf19" "None"
"RP11-36B15.1" "None"
"RELL1" "None"
"PGM2" "None"
"TBC1D1" "None"
"PTTG2" "None"
"KLF3" "None"
"TLR10" "B_cells"
"TLR1" "None"
"TLR6" "None"
"FAM114A1" "Stellate"
"TMEM156" "None"
"KLHL5" "None"
"WDR19" "None"
"RFC1" "None"
"KLB" "PortHep"
"RPL9" "any_B_cell"
"LIAS" "None"
"UGDH" "Hep"
"UGDH-AS1" "None"
"SMIM14" "Hep"
"RP11-539G18.3" "None"
"UBE2K" "PortHep"
"PDS5A" "LSECs"
"N4BP2" "None"
"RHOH" "None"
"RBM47" "Mac"
"NSUN7" "None"
"APBB2" "None"
"UCHL1" "None"
"LIMCH1" "LSECs"
"TMEM33" "PortHep"
"DCAF4L1" "None"
"RP11-814H16.2" "None"
"SLC30A9" "None"
"BEND4" "None"
"SHISA3" "PeriLSECs"
"ATP8A1" "None"
"KCTD8" "None"
"GUF1" "None"
"GNPDA2" "None"
"RP11-700J17.2" "None"
"COMMD8" "gd_T_2"
"ATP10D" "None"
"CORIN" "None"
"RP11-121C2.2" "None"
"NFXL1" "None"
"NIPAL1" "None"
"CNGA1" "None"
"TXK" "None"
"TEC" "None"
"SLAIN2" "None"
"FRYL" "None"
"OCIAD1" "LSECs"
"OCIAD2" "None"
"CWH43" "None"
"DCUN1D4" "None"
"RP11-365H22.2" "None"
"LRRC66" "None"
"SGCB" "Stellate"
"SPATA18" "None"
"USP46" "None"
"USP46-AS1" "None"
"RASL11B" "None"
"SCFD2" "None"
"FIP1L1" "any_T_cell"
"LNX1" "None"
"RP11-571I18.4" "None"
"CHIC2" "None"
"PDGFRA" "Stellate"
"KIT" "None"
"KDR" "CV_LSECs"
"SRD5A3" "None"
"TMEM165" "None"
"CLOCK" "None"
"RP11-528I4.2" "None"
"NMU" "None"
"EXOC1" "None"
"CEP135" "gd_T_2"
"KIAA1211" "None"
"AASDH" "None"
"RP11-646I6.5" "None"
"PPAT" "None"
"PAICS" "PortHep"
"SRP72" "None"
"ARL9" "None"
"HOPX" "gd_T_1"
"SPINK2" "None"
"REST" "None"
"RP11-738E22.3" "None"
"NOA1" "None"
"POLR2B" "any_T_cell"
"IGFBP7" "None"
"RP11-685F15.1" "None"
"ADGRL3" "Stellate"
"RP11-798L4.1" "None"
"RP11-584P21.2" "None"
"CENPC" "None"
"STAP1" "None"
"UBA6" "None"
"UBA6-AS1" "None"
"YTHDC1" "None"
"UGT2B17" "PortalHep2"
"UGT2B15" "None"
"UGT2B10" "Hep"
"RP11-468N14.13" "None"
"UGT2A3" "None"
"UGT2B11" "None"
"UGT2B7" "Hep"
"RP11-704M14.1" "None"
"UGT2B28" "None"
"UGT2B4" "Hep"
"UGT2A1" "None"
"SULT1B1" "PortHep"
"SULT1E1" "None"
"ODAM" "None"
"PROL1" "None"
"ENAM" "None"
"JCHAIN" "Anti_B"
"UTP3" "None"
"RP11-46J23.1" "None"
"RUFY3" "None"
"GRSF1" "None"
"MOB1B" "None"
"DCK" "None"
"SLC4A4" "Cholan"
"GC" "None"
"ADAMTS3" "None"
"COX18" "None"
"ANKRD17" "None"
"RP11-692D12.1" "None"
"ALB" "Hep"
"AFP" "CentralHep"
"AFM" "Hep"
"RP11-622A1.2" "None"
"RASSF6" "None"
"CXCL8" "Infl_Mac"
"CXCL6" "Cholan"
"PF4V1" "None"
"CXCL1" "Cholan"
"PF4" "LSECs"
"PPBP" "Mac"
"CXCL5" "None"
"CXCL3" "None"
"CXCL2" "PortHep"
"MTHFD2L" "PortHep"
"RP11-629B11.5" "None"
"EREG" "Infl_Mac"
"AREG" "NK_like"
"BTC" "None"
"PARM1" "None"
"RP11-44F21.5" "None"
"RCHY1" "any_T_cell"
"THAP6" "None"
"CDKL2" "None"
"G3BP2" "None"
"USO1" "None"
"RP11-556N4.1" "None"
"NAAA" "None"
"SDAD1" "None"
